,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,Mass_activity
initial,0.05,0.2,0.25,0.3,0.2,0.425800572,0.229069113,0.010108622,0.139054406,0.195967288,0.108052764
iter1,0.185098508,0.215802884,0.193701257,0.402354497,0.003042854,0.370513814,0.202337009,0.013812601,0.386774412,0.026562164,0.465389456
iter1,0.170657319,0.200733495,0.2462817,0.382154509,0.000172976,0.367840347,0.182033843,0.013225707,0.428883393,0.008016709,0.54392325
initial,0.05,0.35,0.15,0.25,0.2,0.417027599,0.166896171,0.008763292,0.128642905,0.278670033,0.553843676
initial,0.05,0.3,0.05,0.45,0.15,0.425652646,0.232438139,0.014311333,0.167237398,0.160360484,0.850344269
initial,0.05,0.1,0.3,0.1,0.45,0.252826902,0.008791042,0.018402262,0.053180976,0.666798817,1.543944465
initial,0.1,0.45,0.05,0.2,0.2,0.495751725,0.311100054,0.016454172,0.085075102,0.091618947,1.574211981
iter1,0.186963971,0.227352295,0.149918232,0.431505688,0.004259813,0.389399387,0.284494705,0.007354034,0.289981118,0.028770755,1.614538285
initial,0.05,0.45,0.05,0.2,0.25,0.385734324,0.261993035,0.013278184,0.096290511,0.242703946,1.725296239
initial,0.05,0.4,0.35,0.05,0.15,0.474331926,0.193614725,0.028001703,0.067729004,0.236322642,1.736958235
initial,0.15,0.2,0.35,0.2,0.1,0.473255628,0.162879028,0.049027144,0.104973937,0.209864263,1.8978021
initial,0.25,0.2,0.25,0.2,0.1,0.512824721,0.183436654,0.016422378,0.093139761,0.194176486,2.11845484
initial,0.15,0.3,0.1,0.15,0.3,0.420473322,0.153780988,0.002618686,0.045641087,0.377485917,2.22494617
initial,0.1,0.1,0.15,0.45,0.2,0.346349881,0.065930575,0.012068063,0.120451079,0.455200403,2.368918446
initial,0.15,0.45,0.05,0.15,0.2,0.492512725,0.300717645,0.005698473,0.060528784,0.140542373,2.5722393
iter2,0.178606525,0.341056002,0.455844382,0.013361368,0.011131723,0.607175963,0.223459982,0.057863892,0.0567757,0.054724464,2.575358502
initial,0.1,0.5,0.1,0.15,0.15,0.460213294,0.299562934,0.014731963,0.075390107,0.150101703,2.577602108
initial,0.05,0.2,0.1,0.3,0.35,0.385791095,0.117744406,0.010049616,0.130753837,0.355661046,2.61292457
iter1,0.151567592,0.283051963,0.167334284,0.397052389,0.000993772,0.3324138,0.122353866,0.026338237,0.512160306,0.00673379,2.696279423
iter2,0.18235904,0.381974137,0.386096949,0.033525844,0.01604403,0.588109095,0.237873342,0.015906006,0.09815578,0.059955777,2.697749692
initial,0.5,0.15,0.1,0.05,0.2,0.546103713,0.10075365,0.003644809,0.166551138,0.182946689,2.706775217
initial,0.4,0.1,0.05,0.4,0.05,0.461617973,0.082163348,0.005920244,0.390293855,0.06000458,2.851255025
initial,0.05,0.15,0.5,0.15,0.15,0.41034427,0.10455575,0.040381649,0.11092385,0.333794482,2.889369392
initial,0.2,0.5,0.05,0.05,0.2,0.519175919,0.330267856,0.01117888,0.025965374,0.113411972,2.913637038
initial,0.25,0.05,0.4,0.2,0.1,0.445395945,0.085397574,0.05629932,0.167281726,0.245625436,2.91820906
initial,0.3,0.25,0.15,0.2,0.1,0.517718573,0.213509577,0.014106008,0.082830239,0.171835603,2.937853107
initial,0.5,0.1,0.05,0.2,0.15,0.516589344,0.100654966,0.005931055,0.123839123,0.252985512,3.049806256
initial,0.15,0.4,0.15,0.1,0.2,0.500839632,0.247100257,0.009871776,0.05249564,0.189692695,3.071482497
initial,0.1,0.15,0.25,0.3,0.2,0.400682303,0.089627866,0.011075635,0.100658403,0.397955793,3.087101807
initial,0.2,0.15,0.25,0.2,0.2,0.393441685,0.096874384,0.074180586,0.071186544,0.364316802,3.303875038
initial,0.35,0.1,0.1,0.4,0.05,0.436438781,0.119788578,0.010741061,0.374642176,0.058389405,3.323475683
initial,0.3,0.25,0.2,0.15,0.1,0.526902382,0.223108528,0.008052283,0.084243457,0.157693349,3.328301391
initial,0.3,0.15,0.3,0.15,0.1,0.444587375,0.148616844,0.029987908,0.077251934,0.29955594,3.331402086
initial,0.05,0.05,0.2,0.4,0.3,0.313426365,0.024020585,0.012670585,0.149037276,0.500845188,3.362757461
iter2,0.145623377,0.343919943,0.468206679,0.023965555,0.018284446,0.586244569,0.219988273,0.043841435,0.078215794,0.071709929,3.375218948
initial,0.15,0.15,0.35,0.15,0.2,0.445208409,0.102519726,0.010512246,0.06986024,0.37189938,3.540876028
initial,0.25,0.05,0.1,0.35,0.25,0.449339208,0.078912378,0.006020621,0.124140322,0.341587472,3.552631579
initial,0.25,0.2,0.25,0.2,0.1,0.475184645,0.160418395,0.016404986,0.054857849,0.293134125,3.552903168
initial,0.45,0.15,0.1,0.1,0.2,0.638384019,0.135508704,0.050397128,0.072102434,0.103607716,3.565328403
initial,0.2,0.25,0.2,0.25,0.1,0.564665201,0.228712123,0.012823993,0.064281498,0.129517186,3.659162992
initial,0.35,0.15,0.2,0.15,0.15,0.529604218,0.186992999,0.01504643,0.090524486,0.177831867,3.659190409
initial,0.15,0.15,0.15,0.5,0.05,0.468391081,0.211986599,0.009141165,0.173312069,0.137169087,3.716789345
initial,0.25,0.15,0.25,0.2,0.15,0.480343405,0.162923096,0.011813921,0.11782112,0.227098458,3.745127271
iter2,0.236811481,0.360905176,0.31559959,0.069677422,0.017006332,0.557413603,0.22494811,0.011989606,0.150913451,0.05473523,3.807230013
initial,0.35,0.05,0.35,0.15,0.1,0.47658766,0.081990016,0.024401877,0.124112157,0.29290829,3.856627511
initial,0.35,0.15,0.2,0.15,0.15,0.529714713,0.191673707,0.011828839,0.088983007,0.177799734,3.94553422
initial,0.1,0.2,0.45,0.1,0.15,0.359319147,0.101197965,0.04769209,0.068653153,0.423137645,4.00622355
initial,0.4,0.2,0.15,0.1,0.15,0.511126464,0.178520499,0.008993237,0.069767996,0.231591804,4.018506279
initial,0.2,0.05,0.45,0.2,0.1,0.45750507,0.096560269,0.030699734,0.124806501,0.290428425,4.037118869
iter2,0.199033621,0.34833353,0.405855422,0.035121337,0.01165609,0.544080229,0.27391219,0.023562683,0.125978873,0.032466025,4.078542094
initial,0.35,0.2,0.3,0.05,0.1,0.562082957,0.213786623,0.011238081,0.056864478,0.15602786,4.085359598
initial,0.3,0.1,0.15,0.05,0.4,0.377818483,0.061244322,0.005083894,0.024590343,0.531262957,4.113427531
initial,0.3,0.15,0.15,0.1,0.3,0.434954492,0.101767372,0.00588662,0.041895943,0.415495572,4.122841703
initial,0.25,0.1,0.35,0.2,0.1,0.474543735,0.136283001,0.03057812,0.126224589,0.232370554,4.176785481
initial,0.35,0.35,0.05,0.15,0.1,0.421665415,0.110268248,0.005555159,0.052884708,0.40962647,4.181260457
initial,0.35,0.15,0.35,0.05,0.1,0.556960294,0.190206274,0.013588052,0.073063394,0.166181986,4.202796501
initial,0.15,0.3,0.35,0.05,0.15,0.526281305,0.157412718,0.015769973,0.039486336,0.261049667,4.237970553
initial,0.1,0.3,0.15,0.25,0.2,0.417448323,0.233440955,0.035068215,0.09683735,0.217205156,4.59652419
initial,0.3,0.15,0.1,0.15,0.3,0.411224477,0.102863041,0.006871204,0.053760999,0.42528028,4.67191751
initial,0.2,0.1,0.3,0.2,0.2,0.412836064,0.080540545,0.048811844,0.083714855,0.374096692,4.770398071
initial,0.2,0.25,0.2,0.15,0.2,0.476013602,0.162496331,0.011112079,0.057231809,0.29314618,4.858314117
initial,0.35,0.1,0.2,0.2,0.15,0.50198159,0.113401591,0.007499255,0.105707429,0.271410135,4.892949151
initial,0.35,0.15,0.05,0.35,0.1,0.527862924,0.1838391,0.004939925,0.134193565,0.149164486,4.967373573
iter1,0.156403202,0.255737762,0.15769591,0.427861545,0.002301581,0.366804876,0.068877042,0.004682674,0.54872613,0.010909277,5.020083135
initial,0.2,0.25,0.15,0.2,0.2,0.513863633,0.233899826,0.018237199,0.078830749,0.155168593,5.064512631
initial,0.3,0.15,0.25,0.2,0.1,0.418151556,0.126987691,0.018939918,0.056479524,0.379441311,5.078723701
initial,0.45,0.05,0.4,0.05,0.05,0.471793917,0.083277107,0.009100162,0.311101684,0.12472713,5.201486139
initial,0.1,0.25,0.2,0.2,0.25,0.393398389,0.137302426,0.013300523,0.085575239,0.370423423,5.251511308
initial,0.15,0.25,0.35,0.05,0.2,0.516007021,0.132603076,0.009736197,0.036748846,0.30490486,5.318869113
initial,0.1,0.25,0.3,0.05,0.3,0.419185382,0.133824791,0.019009867,0.070912,0.35706796,5.474737942
initial,0.3,0.05,0.4,0.2,0.05,0.506078868,0.080779007,0.052979166,0.277501735,0.082661224,5.581196843
initial,0.1,0.25,0.3,0.15,0.2,0.415774467,0.10506643,0.025014367,0.025523973,0.428620763,5.615035203
initial,0.25,0.2,0.15,0.1,0.3,0.49022018,0.132981129,0.006138851,0.044315265,0.326344575,5.633065695
initial,0.15,0.35,0.2,0.15,0.15,0.415678547,0.224533101,0.04244794,0.091583779,0.225756633,5.645422589
initial,0.1,0.35,0.2,0.05,0.3,0.50816577,0.175673538,0.010811479,0.031439525,0.273909688,5.667316734
initial,0.25,0.2,0.2,0.15,0.2,0.415124953,0.144057446,0.058264565,0.073085693,0.309467343,5.734746723
initial,0.35,0.25,0.15,0.1,0.15,0.4898125,0.21317849,0.011433652,0.061125787,0.224449571,5.742542153
initial,0.25,0.1,0.25,0.05,0.35,0.428777481,0.058423015,0.0090535,0.028195573,0.475550431,5.829432797
initial,0.15,0.2,0.1,0.1,0.45,0.433410931,0.104831977,0.005117063,0.040711276,0.415928752,6.077608142
initial,0.2,0.2,0.3,0.2,0.1,0.47794937,0.177623008,0.035566918,0.103670529,0.205190176,6.113847887
initial,0.15,0.2,0.25,0.2,0.2,0.426526203,0.146880318,0.029782922,0.07513965,0.321670907,6.141398063
initial,0.4,0.05,0.15,0.25,0.15,0.49163587,0.059842493,0.014931544,0.230878692,0.202711402,6.230113275
initial,0.25,0.15,0.15,0.4,0.05,0.449461672,0.227075731,0.006369532,0.261144095,0.05594897,6.458116356
initial,0.15,0.05,0.4,0.3,0.1,0.475274074,0.099697965,0.016334079,0.147244673,0.261449209,6.482706027
initial,0.25,0.1,0.4,0.15,0.1,0.546732981,0.156711757,0.019986449,0.130102893,0.146465921,6.580600174
initial,0.15,0.1,0.05,0.45,0.25,0.422697595,0.098855462,0.006153948,0.100193634,0.372099361,6.888803287
initial,0.2,0.1,0.2,0.1,0.4,0.412902859,0.055629517,0.010056738,0.033363545,0.488047341,6.94029233
initial,0.3,0.05,0.05,0.4,0.2,0.484238752,0.085128557,0.007793412,0.180589787,0.242249492,6.96401602
initial,0.2,0.2,0.2,0.3,0.1,0.506548988,0.19869858,0.013813561,0.128170998,0.152767873,7.261777854
initial,0.15,0.5,0.25,0.05,0.05,0.617112376,0.274647158,0.013633073,0.028648118,0.065959274,7.371999454
initial,0.1,0.35,0.3,0.05,0.2,0.399982572,0.182230198,0.036718733,0.052168863,0.328899634,7.640511308
initial,0.2,0.3,0.3,0.05,0.15,0.542637425,0.175177144,0.010889644,0.036269882,0.235025905,7.681348843
initial,0.4,0.25,0.15,0.1,0.1,0.552787641,0.251222921,0.007433211,0.083210524,0.105345703,7.760102111
initial,0.2,0.05,0.5,0.05,0.2,0.465607849,0.077799304,0.020403281,0.085461412,0.350728154,7.78425007
initial,0.2,0.25,0.35,0.05,0.15,0.527778284,0.158908517,0.028137939,0.038544512,0.246630748,8.01036001
initial,0.2,0.15,0.4,0.05,0.2,0.466168622,0.115183661,0.031481188,0.046337448,0.340829081,8.235991379
